product_name,price,picture,calorie,protein,fat,carbohydrate,sugar,fiber,salt,url
［テイクアウト］チキン南蛮,990,/files/menu_img/sp_456s.jpg?id=2314,967,26.3,50.1,105.1,98.7,6.4,6.2,https://www.yayoiken.com/menu_list/view/13/456
［テイクアウト］和風おろしハンバーグ,980,/files/menu_img/sp_457s.jpg?id=2314,719,31.5,26.0,95.7,85.0,10.7,6.8,https://www.yayoiken.com/menu_list/view/13/457
［テイクアウト］サバの塩焼,890,/files/menu_img/sp_391s.jpg?id=2314,742,32.2,39.3,68.1,62.3,5.8,5.6,https://www.yayoiken.com/menu_list/view/13/391
［テイクアウト］なす味噌と焼魚,1150,/files/menu_img/sp_392s.jpg?id=2314,755,29.4,37.0,81.1,70.9,10.2,7.0,https://www.yayoiken.com/menu_list/view/13/392
［テイクアウト］ブラックアンガスビーフのカットステーキ,1430,/files/menu_img/sp_458s.jpg?id=2314,680,37.4,21.5,87.7,81.2,6.5,6.9,https://www.yayoiken.com/menu_list/view/13/458
［テイクアウト］チキン南蛮としょうが焼の人気コンビ,1240,/files/menu_img/sp_459s.jpg?id=2314,1212,42.2,68.0,111.1,104.0,7.1,8.1,https://www.yayoiken.com/menu_list/view/13/459
［テイクアウト］ハンバーグとエビフライとから揚げの人気トリオ,1240,/files/menu_img/sp_460s.jpg?id=2314,958,51.6,42.2,96.5,87.8,8.7,7.0,https://www.yayoiken.com/menu_list/view/13/460
［テイクアウト］お子様ランチ,410,/files/menu_img/sp_330s.jpg?id=2314,527,17.7,23.3,63.4,57.5,5.9,2.5,https://www.yayoiken.com/menu_list/view/13/330
［テイクアウト］肉野菜炒め　おかずのみ,800,/files/menu_img/sp_393s.jpg?id=2314,269,18.4,16.1,14.3,10.8,3.5,3.1,https://www.yayoiken.com/menu_list/view/13/393
［テイクアウト］しょうが焼　おかずのみ,710,/files/menu_img/sp_394s.jpg?id=2314,422,18.0,32.8,15.1,12.1,3.0,3.5,https://www.yayoiken.com/menu_list/view/13/394
［テイクアウト］から揚げ　おかずのみ,740,/files/menu_img/sp_461s.jpg?id=2314,468,33.2,28.4,21.7,18.1,3.6,4.9,https://www.yayoiken.com/menu_list/view/13/461
［テイクアウト］特から揚げ　おかずのみ,930,/files/menu_img/sp_462s.jpg?id=2314,616,45.2,37.2,26.9,22.9,4.0,5.8,https://www.yayoiken.com/menu_list/view/13/462
［テイクアウト］から揚げ＆コロッケ　おかずのみ,740,/files/menu_img/sp_463s.jpg?id=2314,572,24.0,37.4,37.7,33.6,4.1,5.5,https://www.yayoiken.com/menu_list/view/13/463
［テイクアウト］チキン南蛮　おかずのみ,840,/files/menu_img/sp_464s.jpg?id=2314,711,20.5,49.0,47.7,44.8,2.9,4.5,https://www.yayoiken.com/menu_list/view/13/464
［テイクアウト］和風おろしハンバーグ　おかずのみ,830,/files/menu_img/sp_465s.jpg?id=2314,487,27.5,25.5,41.5,33.4,8.1,6.8,https://www.yayoiken.com/menu_list/view/13/465
［テイクアウト］サバの塩焼　おかずのみ,740,/files/menu_img/sp_395s.jpg?id=2314,486,26.4,38.2,10.7,8.4,2.3,3.8,https://www.yayoiken.com/menu_list/view/13/395
［テイクアウト］なす味噌と焼魚　おかずのみ,1000,/files/menu_img/sp_396s.jpg?id=2314,611,23.3,47.9,24.3,19.2,5.1,4.2,https://www.yayoiken.com/menu_list/view/13/396
［テイクアウト］ブラックアンガスビーフのカットステーキ　おかずのみ,1280,/files/menu_img/sp_466s.jpg?id=2314,424,31.6,20.4,30.3,27.3,3.0,5.1,https://www.yayoiken.com/menu_list/view/13/466
［テイクアウト］チキン南蛮としょうが焼の人気コンビ　おかずのみ,1090,/files/menu_img/sp_467s.jpg?id=2314,956,36.4,66.9,53.7,50.1,3.6,6.3,https://www.yayoiken.com/menu_list/view/13/467
［テイクアウト］ハンバーグとエビフライとから揚げの人気トリオ　おかずのみ,1090,/files/menu_img/sp_468s.jpg?id=2314,726,47.6,41.7,42.3,36.2,6.1,6.9,https://www.yayoiken.com/menu_list/view/13/468
［テイクアウト］地鶏親子丼～阿波尾鶏～,780,/files/menu_img/sp_470s.jpg?id=2314,666,34.3,13.2,106.0,99.6,6.4,3.9,https://www.yayoiken.com/menu_list/view/13/470
［テイクアウト］かつ丼,790,/files/menu_img/sp_469s.jpg?id=2314,840,35.3,26.4,118.7,112.2,6.5,4.6,https://www.yayoiken.com/menu_list/view/13/469
［テイクアウト］みそ汁,100,/files/menu_img/sp_121s.jpg?id=2314,24,1.8,0.6,3.2,2.3,0.9,1.8,https://www.yayoiken.com/menu_list/view/13/121
［テイクアウト］から揚げ（5個）,590,/files/menu_img/sp_471s.jpg?id=2314,442,30.2,29.7,14.9,13.3,1.6,2.2,https://www.yayoiken.com/menu_list/view/13/471
