product_name,price,picture,calorie,protein,fat,carbohydrate,sugar,fiber,salt,url
うな重(3切れ),1040,https://www.hottomotto.com/files/menu_img/sp_1104.jpg?id=5845,601kcal,23.7g,17.3g,90.3g,85.0g,5.3g,2.8g,https://www.hottomotto.com/menu_list/view/13/1104
和風オニオンソースハンバーグ弁当,720,https://www.hottomotto.com/files/menu_img/sp_1270.jpg?id=5845,691kcal,23.2g,15.8g,118.3g,109.2g,9.1g,3.6g,https://www.hottomotto.com/menu_list/view/13/1270
ライス単品(中),190,https://www.hottomotto.com/files/menu_img/sp_1191.jpg?id=5845,336kcal,5.5g,0.5g,79.8g,75.2g,4.6g,0.0g,https://www.hottomotto.com/menu_list/view/13/1191
肉野菜炒め　おかずのみ,590,https://www.hottomotto.com/files/menu_img/sp_1174.jpg?id=5845,281kcal,16.7g,16.4g,19.5g,14.0g,5.5g,4.3g,https://www.hottomotto.com/menu_list/view/13/1174
BIGのりタル弁当(ナポリタン),740,https://www.hottomotto.com/files/menu_img/sp_1232.jpg?id=5845,1211kcal,40.0g,45.1g,169.4g,157.1g,12.3g,6.5g,https://www.hottomotto.com/menu_list/view/13/1232
ロースとんかつ　おかずのみ,580,https://www.hottomotto.com/files/menu_img/sp_1170.jpg?id=5845,489kcal,20.6g,26.8g,42.2g,39.6g,2.6g,3.3g,https://www.hottomotto.com/menu_list/view/13/1170
大判牛焼きすき重(肉2枚),790,https://www.hottomotto.com/files/menu_img/sp_1088.jpg?id=5845,573kcal,24.3g,14.1g,89.7g,85.0g,4.7g,2.8g,https://www.hottomotto.com/menu_list/view/13/1088
ビーフカットステーキ弁当,960,https://www.hottomotto.com/files/menu_img/sp_1250.jpg?id=5845,653kcal,26.3g,15.0g,107.0g,98.3g,8.7g,4.3g,https://www.hottomotto.com/menu_list/view/13/1250
スポーツ弁当　12品目の幕の内,730,https://www.hottomotto.com/files/menu_img/sp_1207.jpg?id=5845,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.hottomotto.com/menu_list/view/13/1207
チーズハンバーグ　おかずのみ,700,https://www.hottomotto.com/files/menu_img/sp_1225.jpg?id=5845,371kcal,19.1g,20.5g,30.1g,25.5g,4.6g,3.7g,https://www.hottomotto.com/menu_list/view/13/1225
さっぱりゆず大根,180,https://www.hottomotto.com/files/menu_img/sp_1095.jpg?id=5845,23kcal,0.3g,0.0g,5.8g,5.0g,0.8g,0.6g,https://www.hottomotto.com/menu_list/view/13/1095
夏のよくばり牛カレー(から揚),850,https://www.hottomotto.com/files/menu_img/sp_1239.jpg?id=5845,804kcal,31.0g,29.4g,106.6g,99.9g,6.7g,3.5g,https://www.hottomotto.com/menu_list/view/13/1239
スポーツ弁当　のり,650,https://www.hottomotto.com/files/menu_img/sp_1205.jpg?id=5845,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.hottomotto.com/menu_list/view/13/1205
ロースとんかつ弁当,680,https://www.hottomotto.com/files/menu_img/sp_1274.jpg?id=5845,825kcal,26.1g,27.3g,122.0g,114.8g,7.2g,3.3g,https://www.hottomotto.com/menu_list/view/13/1274
W旨だれ焼鳥つくね重(肉2倍),1050,https://www.hottomotto.com/files/menu_img/sp_1288.jpg?id=5845,915kcal,49.5g,35.5g,103.2g,94.7g,8.5g,6.3g,https://www.hottomotto.com/menu_list/view/13/1288
上・海鮮天丼,890,https://www.hottomotto.com/files/menu_img/sp_1230.jpg?id=5845,830kcal,22.8g,26.5g,128.5g,120.7g,7.8g,3.3g,https://www.hottomotto.com/menu_list/view/13/1230
ドラえもんランチ/ドラミちゃんランチ(カレー),520,https://www.hottomotto.com/files/menu_img/sp_1065.jpg?id=5845,433kcal,17.8g,16.2g,56.1g,52.0g,4.1g,2.3g,https://www.hottomotto.com/menu_list/view/13/1065
牛焼肉弁当,720,https://www.hottomotto.com/files/menu_img/sp_1266.jpg?id=5845,707kcal,18.6g,26.1g,103.6g,95.2g,8.4g,3.4g,https://www.hottomotto.com/menu_list/view/13/1266
W牛焼肉弁当(肉２倍),1070,https://www.hottomotto.com/files/menu_img/sp_1267.jpg?id=5845,1004kcal,29.1g,49.9g,114.6g,104.4g,10.2g,5.5g,https://www.hottomotto.com/menu_list/view/13/1267
6種具材のひじき煮,180,https://www.hottomotto.com/files/menu_img/sp_1094.jpg?id=5845,31kcal,1.6g,0.8g,5.2g,3.4g,1.8g,0.6g,https://www.hottomotto.com/menu_list/view/13/1094
メンチカツ,100,https://www.hottomotto.com/files/menu_img/sp_1197.jpg?id=5845,134kcal,4.3g,8.7g,10.0g,9.2g,0.8g,1.0g,https://www.hottomotto.com/menu_list/view/13/1197
スポーツ弁当　しょうが焼き＆焼売,680,https://www.hottomotto.com/files/menu_img/sp_1203.jpg?id=5845,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.hottomotto.com/menu_list/view/13/1203
しょうが焼き＆から揚弁当,920,https://www.hottomotto.com/files/menu_img/sp_1257.jpg?id=5845,942kcal,43.3g,35.8g,116.0g,107.0g,9.0g,5.1g,https://www.hottomotto.com/menu_list/view/13/1257
フライドポテト,180,https://www.hottomotto.com/files/menu_img/sp_1186.jpg?id=5845,197kcal,3.1g,9.7g,25.5g,23.0g,2.5g,0.5g,https://www.hottomotto.com/menu_list/view/13/1186
4コ入り から揚弁当,570,https://www.hottomotto.com/files/menu_img/sp_1255.jpg?id=5845,702kcal,30.2g,19.5g,101.5g,94.9g,6.6g,3.0g,https://www.hottomotto.com/menu_list/view/13/1255
わかめスープ,150,https://www.hottomotto.com/files/menu_img/sp_1192.jpg?id=5845,35kcal,1.8g,1.3g,3.8g,0.0g,0.0g,1.8g,https://www.hottomotto.com/menu_list/view/13/1192
幕の内弁当,690,https://www.hottomotto.com/files/menu_img/sp_1280.jpg?id=5845,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.hottomotto.com/menu_list/view/13/1280
海鮮天ぷら　おかずのみ,640,https://www.hottomotto.com/files/menu_img/sp_1231.jpg?id=5845,446kcal,13.8g,22.1g,49.1g,45.2g,3.9g,3.4g,https://www.hottomotto.com/menu_list/view/13/1231
おつまみプレート,1600,https://www.hottomotto.com/files/menu_img/sp_1080.jpg?id=5845,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.hottomotto.com/menu_list/view/13/1080
