store,category,name,kcal,price_jpy,meal_slot_hint,protein_g,fat_g,carb_g,fiber_g,url,image_url
松屋,モーニング,旨辛玉子ソーセージ丼（大盛）,701.0,90,breakfast,22.6,27.0,84.9,,https://www.matsuyafoods.co.jp/matsuya/menu/morning/morning_don_tamago_hp_250812.html,https://www.matsuyafoods.co.jp/menu/upload_images/morning_umakara_tama_hp_250813.jpg
松屋,モーニング,旨辛玉子ソーセージ丼豚汁セット（大盛）,908.0,90,breakfast,30.0,40.6,98.7,,https://www.matsuyafoods.co.jp/matsuya/menu/morning/morning_don_tamago_ton_hp_250812.html,https://www.matsuyafoods.co.jp/menu/upload_images/morning_umakara_tama_tonjiru_hp_250813.jpg
松屋,モーニング,得朝鶏そぼろたまご丼（小盛）,446.0,430,breakfast,20.4,9.2,66.5,,https://www.matsuyafoods.co.jp/matsuya/menu/morning/morning_don_tori_tamado_hp_250812.html,https://www.matsuyafoods.co.jp/menu/upload_images/morning_toku_don_tori_tamado_hp_250813.jpg
松屋,モーニング,得朝鶏そぼろたまご丼（並盛）,588.0,460,breakfast,22.0,12.2,92.5,,https://www.matsuyafoods.co.jp/matsuya/menu/morning/morning_don_tori_tamado_hp_250812.html,https://www.matsuyafoods.co.jp/menu/upload_images/morning_toku_don_tori_tamado_hp_250813.jpg
松屋,モーニング,得朝鶏そぼろたまご丼（大盛）,877.0,680,breakfast,38.6,16.8,135.0,,https://www.matsuyafoods.co.jp/matsuya/menu/morning/morning_don_tori_tamado_hp_250812.html,https://www.matsuyafoods.co.jp/menu/upload_images/morning_toku_don_tori_tamado_hp_250813.jpg
松屋,モーニング,冷奴＜選べる小鉢＞,90.0,,breakfast,7.3,4.7,4.8,,https://www.matsuyafoods.co.jp/matsuya/menu/morning/morning_kobachi_hiyayakko_hp.html,https://www.matsuyafoods.co.jp/menu/upload_images/side_hiyayakko_hp_220627.jpg
松屋,モーニング,国産とろろ＜選べる小鉢＞,43.0,,breakfast,1.1,0.1,9.4,,https://www.matsuyafoods.co.jp/matsuya/menu/morning/morning_kobachi_k_tororo_hp.html,https://www.matsuyafoods.co.jp/menu/upload_images/side_k_tororo_hp_2.jpg
松屋,モーニング,納豆（ネギ付）＜選べる小鉢＞,81.0,,breakfast,6.5,3.9,6.7,,https://www.matsuyafoods.co.jp/matsuya/menu/morning/morning_kobachi_natto_hp.html,https://www.matsuyafoods.co.jp/matsunoya/menu/upload_images/kobachi_natto_hp_230214.jpg
松屋,モーニング,ソーセージエッグ定食（ミニ）,560.0,530,breakfast,17.5,14.1,85.7,,https://www.matsuyafoods.co.jp/matsuya/menu/morning/morning_sausage_egg_hp_250422.html,https://www.matsuyafoods.co.jp/menu/upload_images/morning_sausage_egg_hp_1.jpg
松屋,モーニング,ソーセージエッグW定食,649.0,,breakfast,23.2,20.8,85.9,,https://www.matsuyafoods.co.jp/matsuya/menu/morning/morning_sausage_egg_w_hp_250422.html,https://www.matsuyafoods.co.jp/menu/upload_images/morning_sausage_egg_w_hp_1.jpg
松屋,モーニング,Wで選べる玉子かけごはん,451.0,,breakfast,12.7,6.8,79.9,,https://www.matsuyafoods.co.jp/matsuya/menu/morning/morning_tkg_hp_250422.html,https://www.matsuyafoods.co.jp/menu/upload_images/morning_tkg_hp_1.jpg
松屋,モーニング,得朝牛皿定食,564.0,,breakfast,13.5,16.4,87.4,,https://www.matsuyafoods.co.jp/matsuya/menu/morning/morning_tokuasa_hp_250422.html,https://www.matsuyafoods.co.jp/menu/upload_images/morning_tei_gyuuzara_hp_241022.jpg
松屋,モーニング,豚汁朝定食,603.0,,breakfast,15.2,15.6,96.7,,https://www.matsuyafoods.co.jp/matsuya/menu/morning/morning_ton_hp_250422.html,https://www.matsuyafoods.co.jp/menu/upload_images/morning_tonjiru_hp_241022.jpg
松屋,ランチ,キムチ牛めしランチセット（小盛）,581.0,650,lunch,16.0,23.9,73.7,,https://www.matsuyafoods.co.jp/matsuya/menu/lunch/lunch_gyu_kimuchi_yasai_hp_250422.html,https://www.matsuyafoods.co.jp/menu/upload_images/gyu_kimuchi_yasai_hp_240403.jpg
松屋,ランチ,キムチ牛めしランチセット（並盛）,760.0,680,lunch,20.1,30.0,99.6,,https://www.matsuyafoods.co.jp/matsuya/menu/lunch/lunch_gyu_kimuchi_yasai_hp_250422.html,https://www.matsuyafoods.co.jp/menu/upload_images/gyu_kimuchi_yasai_hp_240403.jpg
