product_name,price,picture,calorie,protein,fat,carbohydrate,sugar,fiber,salt,url
2種のキンパ,462,https://www.family.co.jp/content/dam/family/goods/0514606.jpg,415.00,9.90,13.10,65.70,,,1.60,https://www.family.co.jp/goods/sushi/0514606.html
ツナサラダ巻とカニカマコーン巻,462,https://www.family.co.jp/content/dam/family/goods/0514675.jpg,451.00,8.60,15.60,69.90,,,2.80,https://www.family.co.jp/goods/sushi/0514675.html
助六寿司,496,https://www.family.co.jp/content/dam/family/goods/0515047.jpg,501.00,17.70,10.90,84.50,,,4.00,https://www.family.co.jp/goods/sushi/0515047.html
いなり寿司3ヶ入,276,https://www.family.co.jp/content/dam/family/goods/0515009.jpg,290.00,9.90,7.50,45.90,,,1.60,https://www.family.co.jp/goods/sushi/0515009.html
細巻寿司（鉄火・ねぎとろ・きゅうり）,445,https://www.family.co.jp/content/dam/family/goods/0750714.jpg,258.00,8.70,3.00,49.90,,,2.90,https://www.family.co.jp/goods/sushi/0750714.html
サーモンたくあん巻,498,https://www.family.co.jp/content/dam/family/goods/0750776.jpg,304.00,9.50,5.40,55.10,,,2.90,https://www.family.co.jp/goods/sushi/0750776.html
天然まぐろのねぎとろ細巻,482,https://www.family.co.jp/content/dam/family/goods/0750608.jpg,286.00,11.20,5.30,48.90,,,2.50,https://www.family.co.jp/goods/sushi/0750608.html
いなり&おむすびセット,462,https://www.family.co.jp/content/dam/family/goods/0515092.jpg,551.00,14.70,18.00,83.90,,,4.10,https://www.family.co.jp/goods/sushi/0515092.html
2種のサラダ巻　ごまマヨチキン・カニカマサラダ,482,https://www.family.co.jp/content/dam/family/goods/0750769.jpg,353.00,11.30,9.00,57.40,,,2.90,https://www.family.co.jp/goods/sushi/0750769.html
チーズに溺れろ！月見チーズバーガー,399,https://www.family.co.jp/content/dam/family/goods/0920377.jpg,323.00,12.00,14.80,36.60,,,2.40,https://www.family.co.jp/goods/sandwich/0920377.html
トルティーヤ　テリヤキチキンとタコス風ミート,369,https://www.family.co.jp/content/dam/family/goods/0920018.jpg,323.00,11.10,14.00,39.90,,,2.00,https://www.family.co.jp/goods/sandwich/0920018.html
【ファミマのお芋掘り】スイートポテト&ホイップサンド,348,https://www.family.co.jp/content/dam/family/goods/0910309.jpg,284.00,4.50,12.40,39.90,,,0.60,https://www.family.co.jp/goods/sandwich/0910309.html
ハムチーズとツナサンド,323,https://www.family.co.jp/content/dam/family/goods/0910187.jpg,374.00,11.60,21.10,35.00,,,2.00,https://www.family.co.jp/goods/sandwich/0910187.html
ハム&たまご&ツナサンドBOX,369,https://www.family.co.jp/content/dam/family/goods/0910118.jpg,398.00,12.30,23.40,35.50,,,2.20,https://www.family.co.jp/goods/sandwich/0910118.html
鎌倉コロッケサンド,297,https://www.family.co.jp/content/dam/family/goods/0910231.jpg,366.00,7.80,19.70,40.70,,,2.20,https://www.family.co.jp/goods/sandwich/0910231.html
【関東・東海】7種具材のチキントルティーヤ,369,https://www.family.co.jp/content/dam/family/goods/0920360.jpg,204.00,10.90,6.30,27.30,,,1.20,https://www.family.co.jp/goods/sandwich/0920360.html
【東京都の一部】厚切りトマトとベーコンと国産チキンサンド,462,https://www.family.co.jp/content/dam/family/goods/0912778.jpg,250.00,12.30,11.70,24.80,,,1.60,https://www.family.co.jp/goods/sandwich/0912778.html
食物繊維が摂れる！海老とブロッコリーロール,369,https://www.family.co.jp/content/dam/family/goods/0920162.jpg,317.00,8.40,20.10,28.50,,,1.90,https://www.family.co.jp/goods/sandwich/0920162.html
【関東・東海・関西】ホットドッグ,213,https://www.family.co.jp/content/dam/family/goods/0920353.jpg,250.00,9.10,12.70,25.40,,,1.40,https://www.family.co.jp/goods/sandwich/0920353.html
【関東・東海・関西】石窯パリジャンサンドスモークチキン&ベーコン,350,https://www.family.co.jp/content/dam/family/goods/0920025.jpg,292.00,13.90,11.40,34.40,,,1.50,https://www.family.co.jp/goods/sandwich/0920025.html
タルタルフィッシュバーガー,297,https://www.family.co.jp/content/dam/family/goods/0920247.jpg,434.00,11.30,26.60,38.30,,,2.20,https://www.family.co.jp/goods/sandwich/0920247.html
【東北・関東】全粒粉サンド　サラダチキンとハム,369,https://www.family.co.jp/content/dam/family/goods/0910064.jpg,251.00,17.80,10.80,21.90,,,2.20,https://www.family.co.jp/goods/sandwich/0910064.html
たっぷりハムサンド,323,https://www.family.co.jp/content/dam/family/goods/0910156.jpg,349.00,9.90,23.90,24.30,,,2.30,https://www.family.co.jp/goods/sandwich/0910156.html
ベーコンレタストマトサンド,369,https://www.family.co.jp/content/dam/family/goods/0910170.jpg,241.00,8.40,13.30,22.50,,,1.30,https://www.family.co.jp/goods/sandwich/0910170.html
大きなロールパン屋台風焼そば&ゆでたまご,369,https://www.family.co.jp/content/dam/family/goods/0920346.jpg,546.00,20.70,22.30,67.70,,,5.30,https://www.family.co.jp/goods/sandwich/0920346.html
石窯パリジャンサンド（ハム&チーズ）,350,https://www.family.co.jp/content/dam/family/goods/0920223.jpg,282.00,10.30,11.30,35.70,,,1.50,https://www.family.co.jp/goods/sandwich/0920223.html
たんぱく質が摂れる！サラダチキンロール,399,https://www.family.co.jp/content/dam/family/goods/0920292.jpg,326.00,25.20,13.40,28.40,,,2.50,https://www.family.co.jp/goods/sandwich/0920292.html
ツナとたまごサンド,265,https://www.family.co.jp/content/dam/family/goods/0910385.jpg,322.00,8.80,20.00,27.70,,,1.30,https://www.family.co.jp/goods/sandwich/0910385.html
チーズバーガー,297,https://www.family.co.jp/content/dam/family/goods/0921022.jpg,323.00,12.00,14.80,36.60,,,2.40,https://www.family.co.jp/goods/sandwich/0921022.html
3種のミックスサンド,298,https://www.family.co.jp/content/dam/family/goods/0910521.jpg,283.00,10.10,15.10,27.30,,,1.70,https://www.family.co.jp/goods/sandwich/0910521.html
ハムレタスたまごサンド,265,https://www.family.co.jp/content/dam/family/goods/0910354.jpg,220.00,8.30,8.40,28.60,,,1.30,https://www.family.co.jp/goods/sandwich/0910354.html
【四国】ホットサンド　石窯パリジャンサンド（ハム&チーズ）,286,https://www.family.co.jp/content/dam/family/goods/0927130.jpg,282.00,10.30,11.30,35.70,,,1.50,https://www.family.co.jp/goods/sandwich/0927130.html
コク旨　ちゃんぽん,554,https://www.family.co.jp/content/dam/family/goods/0812184.jpg,395.00,19.50,9.50,59.50,,,7.20,https://www.family.co.jp/goods/noodle/0812184.html
【関東】隠し味にラー油をかけて　四川風麻婆焼そば,499,https://www.family.co.jp/content/dam/family/goods/0823142.jpg,609.00,22.10,23.40,80.40,,,5.80,https://www.family.co.jp/goods/noodle/0823142.html
鶏と豚の旨みの麻辣スープ　麻辣湯（はるさめ麺）,554,https://www.family.co.jp/content/dam/family/goods/0812177.jpg,194.00,9.30,4.40,30.00,,,6.20,https://www.family.co.jp/goods/noodle/0812177.html
お手軽！冷しぶっかけそば,276,https://www.family.co.jp/content/dam/family/goods/0810128.jpg,259.00,12.40,4.20,43.90,,,2.50,https://www.family.co.jp/goods/noodle/0810128.html
【山梨県・長野県・静岡県（東部）】安曇野産わさびの冷しぶっかけそば,462,https://www.family.co.jp/content/dam/family/goods/0810340.jpg,292.00,14.90,2.40,54.30,,,3.20,https://www.family.co.jp/goods/noodle/0810340.html
石臼挽きそば粉使用　大盛冷しぶっかけそば,508,https://www.family.co.jp/content/dam/family/goods/0810401.jpg,526.00,25.20,7.00,93.90,,,4.20,https://www.family.co.jp/goods/noodle/0810401.html
石臼挽きそば粉使用　ざるそば,417,https://www.family.co.jp/content/dam/family/goods/0810371.jpg,324.00,16.20,2.40,61.50,,,2.50,https://www.family.co.jp/goods/noodle/0810371.html
石臼挽きそば粉使用　ざるそば定食,554,https://www.family.co.jp/content/dam/family/goods/0810395.jpg,517.00,21.90,8.80,89.90,,,4.20,https://www.family.co.jp/goods/noodle/0810395.html
石臼挽きそば粉使用　冷しとろろそば,508,https://www.family.co.jp/content/dam/family/goods/0810388.jpg,311.00,15.10,2.20,59.70,,,2.70,https://www.family.co.jp/goods/noodle/0810388.html
【関東・東海・関西】冷し明太クリームうどん,445,https://www.family.co.jp/content/dam/family/goods/0810135.jpg,332.00,9.60,6.90,58.80,,,3.40,https://www.family.co.jp/goods/noodle/0810135.html
【北海道・関東】北海道産小麦の小麦粉使用　冷したぬきうどん,399,https://www.family.co.jp/content/dam/family/goods/0810272.jpg,371.00,9.20,7.00,69.30,,,3.50,https://www.family.co.jp/goods/noodle/0810272.html
【関東】ほたて日和監修　帆立と鰹の昆布水つけ麺,600,https://www.family.co.jp/content/dam/family/goods/0810036.jpg,445.00,15.20,9.50,75.70,,,4.50,https://www.family.co.jp/goods/noodle/0810036.html
ねぎ盛り！チャーシューの冷しまぜそば,599,https://www.family.co.jp/content/dam/family/goods/0810210.jpg,576.00,18.90,20.20,82.30,,,5.50,https://www.family.co.jp/goods/noodle/0810210.html
【関東の一部】野菜を食べよう　冷しタンメン,554,https://www.family.co.jp/content/dam/family/goods/0810074.jpg,428.00,17.50,10.10,68.60,,,5.30,https://www.family.co.jp/goods/noodle/0810074.html
ごまのコクと花椒の香り！冷し担担麺,462,https://www.family.co.jp/content/dam/family/goods/0810531.jpg,415.00,17.00,11.90,62.40,,,5.00,https://www.family.co.jp/goods/noodle/0810531.html
【東京都の一部】8品目のナムルと野菜のビビン麺,554,https://www.family.co.jp/content/dam/family/goods/0812726.jpg,470.00,20.70,18.10,60.00,,,4.90,https://www.family.co.jp/goods/noodle/0812726.html
